time,open,high,low,close
1729317600,68366.4,68428.5,68305.2,68311.9
1729321200,68312.0,68385.1,68270.8,68328.9
1729324800,68328.9,68456.0,68317.9,68390.0
1729328400,68390.1,68420.0,68319.1,68327.1
1729332000,68327.1,68367.2,68220.0,68225.1
1729335600,68225.1,68282.0,68042.5,68071.6
1729339200,68071.6,68250.4,68063.5,68195.0
1729342800,68195.0,68204.0,68088.0,68090.0
1729346400,68090.0,68347.2,68089.9,68276.9
1729350000,68276.9,68321.3,68140.0,68206.9
1729353600,68206.9,68215.1,68020.0,68028.0
1729357200,68028.0,68133.2,68000.0,68109.4
1729360800,68109.4,68177.5,68068.9,68155.2
1729364400,68155.2,68228.9,68119.0,68162.5
1729368000,68162.5,68240.9,68145.2,68215.2
1729371600,68215.2,68320.0,68185.5,68192.8
1729375200,68192.8,68400.1,68168.2,68305.9
1729378800,68306.0,68401.6,68272.8,68357.1
1729382400,68357.1,68435.6,68203.0,68203.1
1729386000,68203.0,68237.2,68124.0,68129.1
1729389600,68129.2,68212.0,68082.0,68152.6
1729393200,68152.6,68178.0,68069.8,68161.1
1729396800,68161.1,68306.0,68154.5,68223.9
1729400400,68223.9,68274.7,68156.1,68200.0
1729404000,68200.1,68421.0,68151.3,68381.2
1729407600,68381.2,68423.0,68339.8,68347.0
1729411200,68347.0,68498.0,68333.0,68373.3
1729414800,68373.2,68432.5,68330.0,68417.4
1729418400,68417.5,68445.5,68350.0,68350.1
1729422000,68350.1,68431.3,68350.0,68396.3
1729425600,68396.4,68418.7,68233.0,68239.1
1729429200,68239.0,68470.0,68176.7,68438.6
1729432800,68438.6,68749.0,68438.5,68622.1
1729436400,68622.1,68666.0,68333.0,68605.0
1729440000,68605.0,68639.8,68470.0,68475.5
1729443600,68475.5,68592.6,68384.3,68533.2
1729447200,68533.3,68649.0,68530.5,68579.9
1729450800,68580.0,68587.4,68464.9,68484.9
1729454400,68484.9,68919.7,68431.9,68764.0
1729458000,68764.0,68865.6,68630.9,68755.1
1729461600,68755.1,69425.8,68570.8,69132.4
1729465200,69132.5,69191.6,68906.0,69020.1
1729468800,69020.2,69566.0,68957.2,69153.9
