asset,timeframe,parameter_set,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,gross_return_pct,net_return_pct,holding_bars,exit_reason,equity_before,equity_after,strategy_id
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-04-14 00:00:00+00:00,2021-04-15 00:00:00+00:00,27.51280146,27.78014286,0.9716982125163698,0.8916982125163697,2,rule_exit,10000.0,10089.169821251638,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-04-17 00:00:00+00:00,2021-04-18 00:00:00+00:00,25.3490688,32.34273016,27.589421194044014,27.509421194044016,2,rule_exit,10089.169821251638,12864.642042362128,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-04-30 00:00:00+00:00,2021-05-01 00:00:00+00:00,42.5009985,49.6935593,16.923274873177373,16.843274873177375,2,rule_exit,12864.642042362128,15031.469063007522,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-05-05 00:00:00+00:00,2021-05-08 00:00:00+00:00,42.67513332,45.69305956,7.0718613047322965,6.991861304732297,4,rule_exit,15031.469063007522,16082.448531956752,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-05-10 00:00:00+00:00,2021-05-11 00:00:00+00:00,44.3673717,44.61507520000001,0.5583010453603432,0.4783010453603432,2,rule_exit,16082.448531956752,16159.371051404642,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-05-13 00:00:00+00:00,2021-05-15 00:00:00+00:00,43.5727128,43.521294000000005,-0.1180068825092583,-0.1980068825092583,3,rule_exit,16159.371051404642,16127.374384552651,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-08-03 00:00:00+00:00,2021-08-03 00:00:00+00:00,33.20664,34.129172800000006,2.778157621487765,2.6981576214877645,1,rule_exit,16127.374384552651,16562.516365655327,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-08-09 00:00:00+00:00,2021-08-09 00:00:00+00:00,37.6895364,38.672264,2.607428198559636,2.527428198559636,1,rule_exit,16562.516365655327,16981.122074671955,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-08-23 00:00:00+00:00,2021-08-23 00:00:00+00:00,72.8225616,75.6868596,3.9332563110496377,3.8532563110496376,1,rule_exit,16981.122074671955,17635.448232701296,QL_LINDA_5SMA_RS_PULLBACK_v0
SOLUSDT,1D,"{""stop_mode"": ""none""}",long,2021-08-25 00:00:00+00:00,2021-08-26 00:00:00+00:00,70.5201012,74.86002500000001,6.154165587045424,6.074165587045424,2,rule_exit,17635.448232701296,18706.65456037325,QL_LINDA_5SMA_RS_PULLBACK_v0
