Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
22,Exit long,2025-07-18 15:15:00,SL,118142.4,0.129495,15498.9846105,-212.45,-1.37,157.43,1.02,-206.33,-1.33,352.95,3.53
22,Entry long,2025-07-17 19:15:00,Long,119687.9,0.129495,15498.9846105,-212.45,-1.37,157.43,1.02,-206.33,-1.33,352.95,3.53
23,Exit long,2025-07-20 22:00:00,SL,117814,0.210743,24999.9995297,-191.46,-0.77,38.2,0.15,-181.52,-0.73,151.5,1.51
23,Entry long,2025-07-20 15:15:00,Long,118627.9,0.210743,24999.9995297,-191.46,-0.77,38.2,0.15,-181.52,-0.73,151.5,1.51
24,Exit long,2025-07-20 22:00:00,SL,117814,0.210744,25000.118157599998,-191.46,-0.77,38.2,0.15,-181.52,-0.73,-29.96,-0.3
24,Entry long,2025-07-20 15:15:00,Long,118627.9,0.210744,25000.118157599998,-191.46,-0.77,38.2,0.15,-181.52,-0.73,-29.96,-0.3
25,Exit short,2025-07-21 04:30:00,SL,118562.4,0.112628,13203.324126000001,-160.74,-1.22,82.05,0.62,-155.4,-1.18,-195.98,-1.96
25,Entry short,2025-07-20 23:15:00,Short,117229.5,0.112628,13203.324126000001,-160.74,-1.22,82.05,0.62,-155.4,-1.18,-195.98,-1.96
26,Exit short,2025-07-21 04:30:00,SL,118562.4,0.112628,13203.324126000001,-160.74,-1.22,82.05,0.62,-155.4,-1.18,-351.45,-3.51
26,Entry short,2025-07-20 23:15:00,Short,117229.5,0.112628,13203.324126000001,-160.74,-1.22,82.05,0.62,-155.4,-1.18,-351.45,-3.51
27,Exit long,2025-07-21 17:15:00,SL,117660.7,0.17094,20313.090798,-216.34,-1.06,143.82,0.71,-208.3,-1.03,-575.91,-5.76
27,Entry long,2025-07-21 07:15:00,Long,118831.7,0.17094,20313.090798,-216.34,-1.06,143.82,0.71,-208.3,-1.03,-575.91,-5.76
28,Exit long,2025-07-21 17:15:00,SL,117660.7,0.170941,20313.2096297,-216.34,-1.06,143.82,0.71,-208.3,-1.03,-784.13,-7.84
28,Entry long,2025-07-21 07:15:00,Long,118831.7,0.170941,20313.2096297,-216.34,-1.06,143.82,0.71,-208.3,-1.03,-784.13,-7.84
29,Exit long,2025-07-23 04:45:00,BE,118682.8,0.130918,15517.775999000001,7.52,0.05,225.47,1.45,-148.78,-0.96,-782.82,-7.83
29,Entry long,2025-07-22 08:15:00,Long,118530.5,0.130918,15517.775999000001,7.52,0.05,225.47,1.45,-148.78,-0.96,-782.82,-7.83
