asset,timeframe,exists,path,bar_count,first_ts,last_ts,duplicate_count,missing_count,quality
ETHUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ETHUSDT\5m\BINANCE_FUTURES_ETHUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
SOLUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\SOLUSDT\5m\BINANCE_FUTURES_SOLUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
BNBUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\BNBUSDT\5m\BINANCE_FUTURES_BNBUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
XRPUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\XRPUSDT\5m\BINANCE_FUTURES_XRPUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
ADAUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ADAUSDT\5m\BINANCE_FUTURES_ADAUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
DOGEUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\DOGEUSDT\5m\BINANCE_FUTURES_DOGEUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
AVAXUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\AVAXUSDT\5m\BINANCE_FUTURES_AVAXUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
LINKUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\LINKUSDT\5m\BINANCE_FUTURES_LINKUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
DOTUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\DOTUSDT\5m\BINANCE_FUTURES_DOTUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
LTCUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\LTCUSDT\5m\BINANCE_FUTURES_LTCUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
TRXUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\TRXUSDT\5m\BINANCE_FUTURES_TRXUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
APTUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\APTUSDT\5m\BINANCE_FUTURES_APTUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
ARBUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ARBUSDT\5m\BINANCE_FUTURES_ARBUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
NEARUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\NEARUSDT\5m\BINANCE_FUTURES_NEARUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
OPUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\OPUSDT\5m\BINANCE_FUTURES_OPUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01 00:00:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
POLUSDT,5m,True,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\POLUSDT\5m\BINANCE_FUTURES_POLUSDT_5m_20240101_RESEARCH.csv,171998,2024-09-13 12:15:00+00:00,2026-05-03 17:20:00+00:00,0,0,PASS
