trade_id,candidate_id,source_candidate_id,asset,timeframe,entry_time,exit_time,direction,entry_price,exit_price,exit_type,gross_return_pct,fee_pct,slippage_pct,net_return_pct,hold_bars,source_file
MARTIN_LUKE_00057,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LINKUSDT,1D,2021-03-09 00:00:00+00:00,2021-03-24 00:00:00+00:00,long,31.881,24.27671429,ema_avwap_proxy,-23.852093,0.06,0.06,-23.972093,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00058,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,DOGEUSDT,1D,2021-03-09 00:00:00+00:00,2021-03-24 00:00:00+00:00,long,0.063041,0.051008,ema_avwap_proxy,-19.087578,0.06,0.06,-19.207578,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00059,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,LTCUSDT,1D,2021-03-10 00:00:00+00:00,2021-03-25 00:00:00+00:00,long,203.98,170.20285714,ema_avwap_proxy,-16.559046,0.06,0.06,-16.679046,15,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00060,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ETHUSDT,1D,2021-03-14 00:00:00+00:00,2021-03-24 00:00:00+00:00,long,1924.94,1637.44428571,ema_avwap_proxy,-14.935308,0.06,0.06,-15.055308,10,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00061,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,DOTUSDT,1D,2021-03-18 00:00:00+00:00,2021-03-24 00:00:00+00:00,long,36.153,29.96157143,ema_avwap_proxy,-17.125629,0.06,0.06,-17.245629,6,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00062,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BNBUSDT,1D,2021-03-18 00:00:00+00:00,2021-04-07 00:00:00+00:00,long,270.187,375.947,ema_avwap_proxy,39.14326,0.06,0.06,39.02326,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00063,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,XRPUSDT,1D,2021-03-21 00:00:00+00:00,2021-03-24 00:00:00+00:00,long,0.5265,0.45308571,ema_avwap_proxy,-13.943834,0.06,0.06,-14.063834,3,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00064,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,TRXUSDT,1D,2021-03-27 00:00:00+00:00,2021-04-03 00:00:00+00:00,long,0.06464,0.09881429,ema_avwap_proxy,52.868635,0.06,0.06,52.748635,7,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00065,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,BTCUSDT,1D,2021-03-28 00:00:00+00:00,2021-04-17 00:00:00+00:00,long,55828.0,60090.14,ema_avwap_proxy,7.634413,0.06,0.06,7.514413,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
MARTIN_LUKE_00066,MARTIN_LUKE_PULLBACK,MARTIN_LUKE,ETHUSDT,1D,2021-04-01 00:00:00+00:00,2021-04-21 00:00:00+00:00,long,1923.07,2358.9,ema_avwap_proxy,22.663242,0.06,0.06,22.543242,20,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\research\stage2_robustness_2026_05_03_CODEX_20260503_232808\strategies\MARTIN_LUKE\trades.csv
