time,open,high,low,close
1751983200,207.81056099,208.75182675,207.63625252,208.64226142
1751983800,208.66218239,208.73190578,208.03467189,208.29862472
1751984400,208.31356544,208.84645135,208.29364448,208.45301222
1751985000,208.47293319,209.43910015,208.46297271,209.32953483
1751985600,209.32953483,209.5984679,208.89127352,209.55862596
1751986200,209.55862596,209.98692678,209.25981144,209.89728242
1751986800,209.90226267,210.44510905,209.88732194,210.32558324
1751987400,210.33554373,210.59451631,209.74787516,209.75783565
1751988000,209.77775661,209.80763807,208.95103643,209.05064127
1751988600,209.06060176,209.25981144,208.95103643,209.0307203
1751989200,209.0307203,209.44906064,208.9709574,209.14028563
1751989800,209.15024611,209.81759855,209.12036466,209.70803322
1751990400,209.72297395,210.10645259,209.62834935,209.9769663
1751991000,209.96700581,210.27578082,209.92716388,210.14629453
1751991600,210.1662155,210.35546469,209.98692678,210.00186751
1751992200,210.00684775,210.04668969,209.43910015,209.82755903
1751992800,209.81759855,209.89728242,209.57854693,209.7877171
1751993400,209.81759855,209.86740097,209.48890257,209.54866548
1751994000,209.53870499,209.5984679,209.23989047,209.23989047
1751994600,209.22992999,209.36937676,208.68210336,208.85143159
1751995200,208.85143159,209.09048321,208.67214287,208.99087837
1751995800,209.01079933,209.10044369,208.64226142,208.75182675
1751996400,208.7817082,208.85143159,208.50281464,208.65222191
1751997000,208.64226142,209.05064127,208.55261706,209.01079933
1751997600,208.98091788,209.41917918,208.90123401,209.30961386
1751998200,209.32953483,209.35941628,209.06060176,209.22992999
1751998800,209.22992999,209.36937676,209.01079933,209.12036466
1751999400,209.12036466,209.21000902,208.89127352,209.21000902
1752000000,209.20004853,209.20004853,208.72194529,208.99087837
1752000600,208.99087837,209.07056224,208.81158965,208.87135256
1752001200,208.87135256,208.90123401,208.66218239,208.82155014
1752001800,208.7817082,208.83151062,208.60241948,208.75182675
1752002400,208.73190578,208.83151062,208.58249852,208.77174772
1752003000,208.77174772,208.86139207,208.58249852,208.592459
1752003600,208.58249852,208.88629328,208.47293319,208.87135256
1752004200,208.87135256,209.99688727,208.87135256,209.18012757
1752067800,208.63230094,210.05665017,208.52273561,209.24985095
1752068400,209.24985095,209.41917918,208.65222191,209.35941628
1752069000,209.36937676,209.50882354,208.96099691,209.0307203
1752069600,209.05064127,209.6582308,208.90123401,209.53372475
1752070200,209.49886306,209.6582308,209.08052272,209.14028563
1752070800,209.15024611,209.32953483,208.76178723,209.08052272
1752071400,209.07056224,209.07056224,207.94502753,208.30360496
1752072000,208.28368399,208.29862472,207.43704284,207.54660816
1752072600,207.53664768,207.57648962,206.64020411,206.83941379
1752073200,206.81949282,206.93901863,206.50075733,206.71988798
1752073800,206.71988798,206.83941379,206.41111297,206.57048072
1752074400,206.54059927,207.12826783,206.40115249,206.98882105
1752075000,206.99878154,207.1481888,206.69000653,206.88921621
1752075600,206.88921621,207.06352468,206.64020411,206.73482871
1752076200,206.69000653,206.94897912,206.45095491,206.91411742
1752076800,206.92905815,207.38724042,206.90913718,207.28763558
1752077400,207.28763558,207.34739848,206.71988798,206.86929524
1752078000,206.87427549,207.10834686,206.84937427,206.98882105
1752078600,206.98882105,207.07348517,206.79957185,206.80953234
1752079200,206.78961137,207.56652913,206.75972992,207.3972009
1752079800,207.42708236,207.5864501,207.35735897,207.37727993
1752080400,207.37727993,207.82550172,207.15814928,207.76573882
1752081000,207.77071906,208.11435576,207.57648962,208.05459286
1752081600,208.07451382,208.22392109,207.78565978,208.09443479
1752082200,208.08447431,208.23388157,207.90518559,208.08447431
1752082800,208.09443479,208.35340738,208.05459286,208.31854569
1752083400,208.3085852,208.54265658,208.17411867,208.39324932
1752084000,208.38826908,208.81158965,208.32352593,208.76178723
1752084600,208.7817082,209.1602066,208.73190578,208.89127352
1752085200,208.87135256,208.95103643,208.73190578,208.89127352
1752085800,208.90123401,209.05064127,208.82653038,208.99087837
1752086400,208.98091788,209.00581909,208.79166868,208.94107595
1752087000,208.94107595,209.22992999,208.91119449,209.11538442
1752087600,209.12036466,209.3494558,208.8414711,208.85143159
1752088200,208.83151062,209.10044369,208.82155014,209.0307203
1752088800,209.01079933,209.17016708,208.90123401,209.06060176
1752089400,209.0307203,209.41917918,208.91119449,209.41917918
1752090000,209.41419894,209.53870499,209.30961386,209.42913967
1752090600,209.43910015,210.49491147,209.38929773,210.27578082
1752154200,209.5984679,210.30566227,209.20004853,209.88732194
1752154800,209.87736146,210.27578082,209.67815177,209.9769663
1752155400,209.94708484,210.44510905,209.69807274,210.43514857
1752156000,210.43514857,211.01285665,209.87736146,210.11641307
1752156600,210.12637356,211.05269858,210.08653162,210.89333084
1752157200,210.90329132,211.45111795,210.49989171,211.17222439
1752157800,211.19214536,212.21807523,211.08258004,211.82961635
1752158400,211.82961635,212.63641556,211.66028812,211.70013005
1752159000,211.70013005,211.86945828,211.19214536,211.52084134
1752159600,211.52084134,212.05870748,211.4809994,211.92922119
1752160200,211.92922119,212.46708733,211.75989296,212.27783813
1752160800,212.2977591,212.43720588,212.00890506,212.13839136
1752161400,212.15831232,212.22803571,211.6104857,211.99894458
1752162000,211.99894458,212.33760104,211.80969538,212.048747
1752162600,212.05870748,212.06866797,211.39135505,211.56068328
1752163200,211.54076231,211.55072279,211.14234294,211.33159214
1752163800,211.34155262,211.41127601,211.00289616,211.28178972
1752164400,211.28178972,211.34155262,211.10250101,211.24194778
1752165000,211.2319873,211.44115747,211.02281713,211.40131553
1752165600,211.41127601,211.51088086,211.20210585,211.27182924
1752166200,211.28178972,211.45111795,211.11744173,211.17222439
1752166800,211.16226391,211.29673045,211.09254052,211.22202682
1752167400,211.21206633,211.6104857,211.16226391,211.6104857
