Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
30,Entry long,2025-07-09 13:00:00,Long,109350.5,0.228624,25000.148712,-146.49,-0.59,78.71,0.31,-136.54,-0.55,-1743.39,-17.43
31,Exit short,2025-07-09 20:15:00,SL,109626.1,0.155287,16873.3456617,-163.72,-0.97,10.78,0.06,-156.91,-0.93,-1913.86,-19.14
31,Entry short,2025-07-09 15:30:00,Short,108659.1,0.155287,16873.3456617,-163.72,-0.97,10.78,0.06,-156.91,-0.93,-1913.86,-19.14
32,Exit short,2025-07-09 20:15:00,SL,109626.1,0.155287,16873.3456617,-163.72,-0.97,10.78,0.06,-156.91,-0.93,-2070.83,-20.71
32,Entry short,2025-07-09 15:30:00,Short,108659.1,0.155287,16873.3456617,-163.72,-0.97,10.78,0.06,-156.91,-0.93,-2070.83,-20.71
33,Exit long,2025-07-10 18:00:00,TP1,113421.7,0.193166,21309.300456,582.63,2.73,591.39,2.77,-30.82,-0.14,-1496.73,-14.97
33,Entry long,2025-07-09 20:15:00,Long,110316.0,0.193166,21309.300456,582.63,2.73,591.39,2.77,-30.82,-0.14,-1496.73,-14.97
34,Exit long,2025-07-10 22:15:00,TP2,116010.1,0.193166,21309.300456,1082.42,5.08,1091.38,5.12,-30.82,-0.14,-405.79,-4.06
34,Entry long,2025-07-09 20:15:00,Long,110316.0,0.193166,21309.300456,1082.42,5.08,1091.38,5.12,-30.82,-0.14,-405.79,-4.06
35,Exit long,2025-07-14 06:15:00,TP1,122603.1,0.086793,10041.1342458,591.68,5.89,595.94,5.93,-47.75,-0.48,181.88,1.82
35,Entry long,2025-07-10 22:15:00,Long,115690.6,0.086793,10041.1342458,591.68,5.89,595.94,5.93,-47.75,-0.48,181.88,1.82
36,Exit long,2025-07-15 02:45:00,TRAIL,118689.8,0.086793,10041.1342458,252.17,2.51,656.43,6.53,-47.75,-0.48,438.07,4.38
36,Entry long,2025-07-10 22:15:00,Long,115690.6,0.086793,10041.1342458,252.17,2.51,656.43,6.53,-47.75,-0.48,438.07,4.38
37,Exit short,2025-07-15 14:30:00,BE,118327.0,0.091323,10820.9353284,6.31,0.06,202.41,1.87,-39.25,-0.36,440.05,4.4
37,Entry short,2025-07-15 02:45:00,Short,118490.8,0.091323,10820.9353284,6.31,0.06,202.41,1.87,-39.25,-0.36,440.05,4.4
38,Exit short,2025-07-15 14:30:00,BE,118327.0,0.091323,10820.9353284,6.31,0.06,202.41,1.87,-39.25,-0.36,450.69,4.51
38,Entry short,2025-07-15 02:45:00,Short,118490.8,0.091323,10820.9353284,6.31,0.06,202.41,1.87,-39.25,-0.36,450.69,4.51
39,Exit long,2025-07-15 15:45:00,SL,116246.5,0.098969,11704.9052796,-209.39,-1.79,12.22,0.1,-204.79,-1.75,236.61,2.37
39,Entry long,2025-07-15 14:30:00,Long,118268.4,0.098969,11704.9052796,-209.39,-1.79,12.22,0.1,-204.79,-1.75,236.61,2.37
40,Exit long,2025-07-15 15:45:00,SL,116246.5,0.098969,11704.9052796,-209.39,-1.79,12.22,0.1,-204.79,-1.75,31.91,0.32
40,Entry long,2025-07-15 14:30:00,Long,118268.4,0.098969,11704.9052796,-209.39,-1.79,12.22,0.1,-204.79,-1.75,31.91,0.32
41,Exit short,2025-07-16 09:30:00,SL,118418.7,0.061512,7134.1063992,-155.83,-2.18,11.23,0.16,-152.92,-2.14,-126.78,-1.27
41,Entry short,2025-07-15 15:45:00,Short,115979.1,0.061512,7134.1063992,-155.83,-2.18,11.23,0.16,-152.92,-2.14,-126.78,-1.27
42,Exit short,2025-07-16 09:30:00,SL,118418.7,0.061513,7134.2223783,-155.83,-2.18,11.23,0.16,-152.92,-2.14,-279.76,-2.8
42,Entry short,2025-07-15 15:45:00,Short,115979.1,0.061513,7134.2223783,-155.83,-2.18,11.23,0.16,-152.92,-2.14,-279.76,-2.8
43,Exit long,2025-07-16 16:15:00,BE,118880.0,0.199651,23714.6056753,0.93,0.0,191.44,0.81,-134.13,-0.57,-288.32,-2.88
43,Entry long,2025-07-16 09:30:00,Long,118780.3,0.199651,23714.6056753,0.93,0.0,191.44,0.81,-134.13,-0.57,-288.32,-2.88
44,Exit long,2025-07-16 16:15:00,BE,118880.0,0.199652,23714.7244556,0.93,0.0,191.44,0.81,-134.13,-0.57,-277.91,-2.78
44,Entry long,2025-07-16 09:30:00,Long,118780.3,0.199652,23714.7244556,0.93,0.0,191.44,0.81,-134.13,-0.57,-277.91,-2.78
45,Exit long,2025-07-17 02:45:00,SL,117771.0,0.11966,14292.60921,-211.49,-1.48,72.84,0.51,-205.85,-1.44,-495.11,-4.95
45,Entry long,2025-07-16 16:15:00,Long,119443.5,0.11966,14292.60921,-211.49,-1.48,72.84,0.51,-205.85,-1.44,-495.11,-4.95
46,Exit long,2025-07-17 02:45:00,SL,117771.0,0.11966,14292.60921,-211.49,-1.48,72.84,0.51,-205.85,-1.44,-700.88,-7.01
46,Entry long,2025-07-16 16:15:00,Long,119443.5,0.11966,14292.60921,-211.49,-1.48,72.84,0.51,-205.85,-1.44,-700.88,-7.01
47,Exit short,2025-07-17 19:15:00,SL,119645.0,0.098077,11584.3158165,-159.43,-1.38,64.19,0.55,-154.74,-1.34,-864.95,-8.65
47,Entry short,2025-07-17 02:45:00,Short,118114.5,0.098077,11584.3158165,-159.43,-1.38,64.19,0.55,-154.74,-1.34,-864.95,-8.65
48,Exit short,2025-07-17 19:15:00,SL,119645.0,0.098077,11584.3158165,-159.43,-1.38,64.19,0.55,-154.74,-1.34,-1019.75,-10.2
48,Entry short,2025-07-17 02:45:00,Short,118114.5,0.098077,11584.3158165,-159.43,-1.38,64.19,0.55,-154.74,-1.34,-1019.75,-10.2
49,Exit long,2025-07-18 15:15:00,SL,118142.4,0.129494,15498.8649226,-212.45,-1.37,157.43,1.02,-206.33,-1.33,-1238.4,-12.38
49,Entry long,2025-07-17 19:15:00,Long,119687.9,0.129494,15498.8649226,-212.45,-1.37,157.43,1.02,-206.33,-1.33,-1238.4,-12.38
50,Exit long,2025-07-18 15:15:00,SL,118142.4,0.129495,15498.9846105,-212.45,-1.37,157.43,1.02,-206.33,-1.33,-1444.65,-14.45
50,Entry long,2025-07-17 19:15:00,Long,119687.9,0.129495,15498.9846105,-212.45,-1.37,157.43,1.02,-206.33,-1.33,-1444.65,-14.45
51,Exit short,2025-07-21 08:15:00,SL,119531.2,0.093779,11059.4137374,-159.01,-1.44,141.92,1.28,-154.53,-1.4,-1608.09,-16.08
